Sentence ID,Sentence,Choice,Correct suffix,Stress,condition,subject,f/m,V,V,object
37_C1,La modelo llevó la camisa,vó,ó,oxytone,1,modelo,f,llevar,CV,camisa
37_C2,La modelo lleva la camisa,va,a,paroxytone,2,modelo,f,llevar,CV,camisa
38_C1,La pintora dejó el cuaderno,jó,ó,oxytone,1,pintora,m,dejar,CV,cuaderno
38_C2,La pintora deja el cuaderno,ja,a,paroxytone,2,pintora,m,dejar,CV,cuaderno
39_C1,El trabajador tomó el tren,mó,ó,oxytone,1,trabajador,f,tomar,CV,tren
39_C2,El trabajador toma el tren,ma,a,paroxytone,2,trabajador,f,tomar,CV,tren
40_C1,La policía miró la evidencia,ró,ó,oxytone,1,policía,f,mirar,CV,evidencia
40_C2,La policía mira la evidencia,ra,a,paroxytone,2,policía,f,mirar,CV,evidencia
41_C1,La autora ganó el premio,nó,ó,oxytone,1,autora,m,ganar,CV,premio
41_C2,La autora gana el premio,na,a,paroxytone,2,autora,m,ganar,CV,premio
42_C1,El abogado bajó el precio,jó,ó,oxytone,1,abogado,f,bajar,CV,precio
42_C2,El abogado baja el precio,ja,a,paroxytone,2,abogado,f,bajar,CV,precio
43_C1,La cocinera tiró la fruta,ró,ó,oxytone,1,cocinera,m,tirar,CV,fruta
43_C2,La cocinera tira la fruta,ra,a,paroxytone,2,cocinera,m,tirar,CV,fruta
44_C1,El técnico borró la pantalla,rró,ó,oxytone,1,técnico,m,borrar,CV,pantalla
44_C2,El técnico borra la pantalla,rra,a,paroxytone,2,técnico,m,borrar,CV,pantalla
45_C1,El dentista quitó la máscara,tó,ó,oxytone,1,dentista,f,quitar,CV,máscara
45_C2,El dentista quita la máscara,ta,a,paroxytone,2,dentista,f,quitar,CV,máscara
46_C1,La amiga pesó el azucar,só,ó,oxytone,1,amiga,m,pesar,CV,azucar
46_C2,La amiga pesa el azucar,sa,a,paroxytone,2,amiga,m,pesar,CV,azucar
47_C1,El capitán fumó el puro,mó,ó,oxytone,1,capitán,m,fumar,CV,puro
47_C2,El capitán fuma el puro,ma,a,paroxytone,2,capitán,m,fumar,CV,puro
48_C1,El chofer llenó el tanque,nó,ó,oxytone,1,chofer,m,llenar,CV,tanque
48_C2,El chofer llena el tanque,na,a,paroxytone,2,chofer,m,llenar,CV,tanque
49_C1,El músico falta al concierto,ta,a,paroxytone,1,músico,m,faltar,CVC,concierto
49_C2,El músico faltó al concierto,tó,ó,oxytone,2,músico,m,faltar,CVC,concierto
50_C1,El tribunal juzga el caso,ga,a,paroxytone,1,tribunal,f,juzgar,CVC,caso
50_C2,El tribunal juzgó el caso,gó,ó,oxytone,2,tribunal,f,juzgar,CVC,caso
51_C1,La química mezcla la formula,cla,a,paroxytone,1,química,f,mezclar,CVC,formula
51_C2,La química mezcló la formula,cló,ó,oxytone,2,química,f,mezclar,CVC,formula
52_C1,La reina nombra la ciudad,bra,a,paroxytone,1,reina,m,nombrar,CVC,ciudad
52_C2,La reina nombró la ciudad,bró,ó,oxytone,2,reina,m,nombrar,CVC,ciudad
53_C1,El explorador porta el mapa,ta,a,paroxytone,1,explorador,f,portar,CVC,mapa
53_C2,El explorador portó el mapa,tó,ó,oxytone,2,explorador,f,portar,CVC,mapa
54_C1,La hermana tumba el cristal,ba,a,paroxytone,1,hermana,f,tumbar,CVC,cristal
54_C2,La hermana tumbó el cristal,bó,ó,oxytone,2,hermana,f,tumbar,CVC,cristal
55_C1,La viuda borda la sábana,da,a,paroxytone,1,viuda,f,bordar,CVC,sábana
55_C2,La viuda bordó la sábana,dó,ó,oxytone,2,viuda,f,bordar,CVC,sábana
56_C1,La editora funda la compañia,da,a,paroxytone,1,editora,m,fundar,CVC,compañia
56_C2,La editora fundó la compañia,dó,ó,oxytone,2,editora,m,fundar,CVC,compañia
57_C1,El constructor rasca el boleto,ca,a,paroxytone,1,constructor,f,rascar,CVC,boleto
57_C2,El constructor rascó el boleto,có,ó,oxytone,2,constructor,f,rascar,CVC,boleto
58_C1,La casera filtra el zumo,tra,a,paroxytone,1,casera,f,filtrar,CVC,zumo
58_C2,La casera filtró el zumo,tró,ó,oxytone,2,casera,f,filtrar,CVC,zumo
59_C1,La peluquera corta el pelo,ta,a,paroxytone,1,peluquera,m,cortar,CVC,pelo
59_C2,La peluquera cortó el pelo,tó,ó,oxytone,2,peluquera,m,cortar,CVC,pelo
60_C1,El contador busca el documento,ca,a,paroxytone,1,contador,f,buscar,CVC,documento
60_C2,El contador buscó el documento,có,ó,oxytone,2,contador,f,buscar ,CVC,documento
61_C1,La paciente toca la puerta,ca,a,paroxytone,1,paciente,f,tocar,CV,puerta
61_C2,La paciente tocó la puerta,có,ó,oxytone,2,paciente,f,tocar,CV,puerta
62_C1,La abuela guisa la comida,sa,a,paroxytone,1,abuela,m,guisar,CV,comida
62_C2,La abuela guisó la comida,só,ó,oxytone,2,abuela,m,guisar,CV,comida
63_C1,El atleta lava el uniforme,va,a,paroxytone,1,atleta,f,lavar,CV,uniforme
63_C2,El atleta lavó el uniforme,vó,ó,oxytone,2,atleta,f,lavar,CV,uniforme
64_C1,La actriz daña el vestido,ña,a,paroxytone,1,actriz,f,dañar,CV,vestido
64_C2,La actriz dañó el vestido,ñó,ó,oxytone,2,actriz,f,dañar,CV,vestido
65_C1,La asistenta seca la ropa,ca,a,paroxytone,1,asistenta,f,secar,CV,ropa
65_C2,La asistenta secó la ropa,có,ó,oxytone,2,asistenta,f,secar,CV,ropa
66_C1,La mesera saca la basura,ca,a,paroxytone,1,mesera,f,sacar,CV,basura
66_C2,La mesera sacó la basura,có,ó,oxytone,2,mesera,f,sacar,CV,basura
67_C1,La deportista pasa la prueba,sa,a,paroxytone,1,deportista,m,pasar,CV,prueba
67_C2,La deportista pasó la prueba,só,ó,oxytone,2,deportista,m,pasar,CV,prueba
68_C1,El ganadero moja la hierva,ja,a,paroxytone,1,ganadero,f,mojar,CV,hierva
68_C2,El ganadero mojó la hierva,jó,ó,oxytone,2,ganadero,f,mojar,CV,hierva
69_C1,La dependienta dobla la falda,bla,a,paroxytone,1,dependienta,m,doblar,CV,falda
69_C2,La dependienta dobló la falda,bló,ó,oxytone,2,dependienta,m,doblar,CV,falda
70_C1,El cazador mata el leon,ta,a,paroxytone,1,cazador,m,matar,CV,leon
70_C2,El cazador mató el leon,tó,ó,oxytone,2,cazador,m,matar,CV,leon
71_C1,El alumno pega el balón,ga,a,paroxytone,1,alumno,m,pegar,CV,balón
71_C2,El alumno pegó el balón,gó,ó,oxytone,2,alumno,m,pegar,CV,balón
72_C1,El comerciante paga el impuesto,ga,a,paroxytone,1,comerciante,f,pagar,CV,impuesto
72_C2,El comerciante pagó el impuesto,gó,ó,oxytone,2,comerciante,f,pagar,CV,impuesto
73_C1,La poeta faltó a la funcion,tó,ó,oxytone,1,poeta,f,faltar,CVC,funcion
73_C2,La poeta falta a la funcion,ta,a,paroxytone,2,poeta,f,faltar,CVC,funcion
74_C1,La ciudadana juzgó la sentencia,gó,ó,oxytone,1,ciudadana,f,juzgar,CVC,sentencia
74_C2,La ciudadana juzga la sentencia,ga,a,paroxytone,2,ciudadana,f,juzgar,CVC,sentencia
75_C1,La científica mezcló el líquido,cló,ó,oxytone,1,científica,f,mezclar,CVC,líquido
75_C2,La científica mezcla el líquido,cla,a,paroxytone,2,científica,f,mezclar,CVC,líquido
76_C1,La duequesa nombró la calle,bró,ó,oxytone,1,duequesa,m,nombrar,CVC,calle
76_C2,La duequesa nombra la calle,brá,a,paroxytone,2,duequesa,m,nombrar,CVC,calle
77_C1,El vendedor portó la maleta,tó,ó,oxytone,1,vendedor,m,portar,CVC,maleta
77_C2,El vendedor porta la maleta,ta,a,paroxytone,2,vendedor,m,portar,CVC,maleta
78_C1,El chef tumbó el plato,bó,ó,oxytone,1,chef,f,tumbar,CVC,plato
78_C2,El chef tumba el plato,ba,a,paroxytone,2,chef,f,tumbar,CVC,plato
79_C1,La costurera bordó el cojín,dó,ó,oxytone,1,costurera,m,bordar,CVC,cojín
79_C2,La costurera borda el cojín,da,a,paroxytone,2,costurera,m,bordar,CVC,cojín
80_C1,El académico fundó el colegio,dó,ó,oxytone,1,académico,m,fundar,CVC,colegio
80_C2,El académico funda el colegio,da,a,paroxytone,2,académico,m,fundar,CVC,colegio
81_C1,El taxista rascó el auto,có,ó,oxytone,1,taxista,m,rascar,CVC,auto
81_C2,El taxista rasca el auto,ca,a,paroxytone,2,taxista,m,rascar,CVC,auto
82_C1,El burócrata filtró la noticia,tró,ó,oxytone,1,burócrata,m,filtrar,CVC,noticia
82_C2,El burócrata filtra la noticia,tra,a,paroxytone,2,burócrata,m,filtrar,CVC,noticia
83_C1,El zapatero cortó el cuero,tó,ó,oxytone,1,zapatero,m,cortar,CVC,cuero
83_C2,El zapatero corta el cuero,ta,a,paroxytone,2,zapatero,m,cortar,CVC,cuero
84_C1,El guía buscó el museo,có,ó,oxytone,1,guía,m,buscar,CVC,museo
84_C2,El guía busca el museo,ca,a,paroxytone,2,guía,m,buscar,CVC,museo
85_C1,El periodista tocó la cámera,có,ó,oxytone,1,periodista,f,tocar,CV,cámera
85_C2,El periodista toca la cámera,ca,a,paroxytone,2,periodista,f,tocar,CV,cámera
86_C1,La cuñada guisó la carne,só,ó,oxytone,1,cuñada,m,guisar,CV,carne
86_C2,La cuñada guisa la carne,sa,a,paroxytone,2,cuñada,m,guisar,CV,carne
87_C1,El director lavó la chaqueta,vó,ó,oxytone,1,director,m,lavar,CV,chaqueta
87_C2,El director lava la chaqueta,va,a,paroxytone,2,director,m,lavar,CV,chaqueta
88_C1,El jardinero dañó la pared,ñó,ó,oxytone,1,jardinero,f,dañar,CV,pared
88_C2,El jardinero daña la pared,ña,a,paroxytone,2,jardinero,f,dañar,CV,pared
89_C1,La esposa secó la ventana,có,ó,oxytone,1,esposa,m,secar,CV,ventana
89_C2,La esposa seca la ventana,ca,a,paroxytone,2,esposa,m,secar,CV,ventana
90_C1,El bebé sacó la lengua,có,ó,oxytone,1,bebé,f,sacar,CV,lengua
90_C2,El bebé saca la lengua,ca,a,paroxytone,2,bebé,f,sacar,CV,lengua
91_C1,La profesional pasó el examen,só,ó,oxytone,1,profesional,m,pasar,CV,examen
91_C2,La profesional pasa el examen,sa,a,paroxytone,2,profesional,m,pasar,CV,examen
92_C1,El nieto mojó el suelo,jó,ó,oxytone,1,nieto,f,mojar,CV,suelo
92_C2,El nieto moja el suelo,ja,a,paroxytone,2,nieto,f,mojar,CV,suelo
93_C1,La bailarina dobló la pierna,bló,ó,oxytone,1,bailarina,m,doblar,CV,pierna
93_C2,La bailarina dobla la pierna,bla,a,paroxytone,2,bailarina,m,doblar,CV,pierna
94_C1,El campesino mató el insecto,tó,ó,oxytone,1,campesino,m,matar,CV,insecto
94_C2,El campesino mata el insecto,ta,a,paroxytone,2,campesino,m,matar,CV,insecto
95_C1,El cartero pegó el sello,gó,ó,oxytone,1,cartero,m,pegar,CV,sello
95_C2,El cartero pega el sello,ga,a,paroxytone,2,cartero,m,pegar,CV,sello
96_C1,El fiscal pagó la tarifa,gó,ó,oxytone,1,fiscal,m,pagar,CV,tarifa
96_C2,El fiscal paga la tarifa,ga,a,paroxytone,2,fiscal,m,pagar,CV,tarifa
